Student ID,Student Name,Job ID #1,Job ID #2,Job ID #3,Job ID #4,Job ID #5
0,Mikey Quintero,380,285,370,158,492
1,Richard Dell,334,336,50,318,141
2,Richard Diesel,53,61,304,65,387
3,Maria Jackson,307,495,407,318,64
4,Bruce Martinez,464,65,245,18,277
5,Lucas Hernandez,57,198,413,250,22
6,Janet Michaels,360,181,54,327,173
7,Poju Evans,397,133,,,
8,Hugh Lopez,306,94,490,,
9,Paul Bravo,19,261,,,
10,Mikey Mungus,61,272,93,64,419
11,Hugh Stewart,264,433,229,361,4
12,Lucas Martinez,312,480,72,,
13,Janet Jackson,467,439,45,,
14,Brad Sobrino,215,128,159,74,364
15,John Johnson,171,183,146,,
16,Doug Jobs,91,149,161,383,
17,Hugh Chase,387,355,309,,
18,Hugh Young,222,318,496,459,452
19,Isaak Padilla,243,459,10,130,194
20,Alexa Parker,454,299,349,5,114
21,Doug Diesel,452,173,449,85,278
22,Andrew Martinez,330,221,450,82,225
23,Peter Sanchez,414,268,328,275,237
24,Jessica Chase,45,193,163,61,498
25,Mikey Ybarra,34,203,236,28,
26,Alexa Matheson,388,455,276,,
27,Johnny Jefferson,442,110,270,233,
28,Hugh Dell,201,138,43,,
29,Alexa Mungus,439,283,455,473,445
30,Ivan Ybarra,473,218,359,439,
31,Richard Stewart,418,423,220,202,153
32,Michael Stewart,166,309,103,224,297
33,Paula Mungus,144,84,438,,
34,Brad Douglass,351,102,411,98,
35,Eddie Gomez,283,180,,,
36,Jefferson Smith,170,428,276,,
37,Jessica Ybarra,173,198,222,,
38,Jeff Jefferson,212,441,268,205,21
39,Isaak Dell,249,94,167,325,443
40,Destiny Morgan,465,436,252,488,493
41,Doug Dell,3,75,,,
42,Lucas Padilla,71,118,421,479,
43,John Richison,16,301,271,,
44,Jack Parker,169,4,466,61,49
45,Mark Stewart,321,345,308,123,171
46,Isaak Stevenson,498,167,308,279,246
47,Jessica Parker,110,229,,,
48,Mikey Jefferson,301,468,348,293,55
49,Eddie Martinez,78,164,256,345,211
50,George Jackson,179,358,275,485,466
51,Nick Lee,115,293,465,134,64
52,Jakob Mack,424,140,,,
53,Janet Westlund,398,335,13,417,
54,Thomas Lopez,23,344,,,
55,Poju Michaels,386,476,485,419,
56,John Rudd,146,19,,,
57,Andrew Westlund,246,472,51,148,224
58,Richard Dean,307,497,485,339,451
59,Johnny Williams,464,126,178,293,200
60,Andrew Martinez,268,393,19,411,422
61,John Evans,125,150,336,374,
62,Maria Jackson,197,273,,,
63,Jack Johnson,292,409,,,
64,Jessica Williams,412,118,211,163,
65,Jakob Jackson,337,296,75,,
66,Brad Mungus,409,445,385,47,285
67,Mark Quintero,25,382,140,105,
68,Jeff Mungus,431,149,321,,
69,Bruce Dean,274,143,432,,
70,Morgan Jefferson,447,273,350,36,
71,Ivan Sinatra,53,14,422,,
72,Nick Diesel,489,448,269,194,219
73,Nick Bobson,393,212,258,328,9
74,Peter Lee,212,497,64,417,69
75,Nick Martinez,457,363,315,273,237
76,Morgan Sobrino,120,303,418,309,486
77,Thomas Sobrino,386,106,398,,
78,George Matheson,290,454,,,
79,Matt Stevenson,425,482,480,,
80,Jeff Williams,53,318,142,125,
81,Isaak Douglass,55,225,,,
82,Nick Matheson,293,39,357,173,491
83,Morgan Ybarra,68,266,490,418,
84,Thomas Wayne,185,25,,,
85,Jessica Ybarra,357,195,282,374,
86,Nick Mungus,146,205,,,
87,Bob Wayne,187,365,280,,
88,Jordan Wayne,351,311,184,130,
89,Richard Ybarra,451,88,163,145,159
90,Jordan Sanchez,376,65,38,14,
91,George Matheson,220,346,489,317,
92,Matt Sinatra,305,278,200,318,
93,Mark Richison,86,185,145,410,56
94,George Young,134,481,213,474,135
95,Poju Dean,295,497,268,369,113
96,Alexa Sobrino,467,278,444,207,415
97,Thomas Smith,71,79,190,,
98,Paul Young,0,306,445,241,
99,Jordan Thomas,21,157,487,51,299
100,Doug Sobrino,341,449,116,482,26
101,Paula Lopez,269,474,,,
102,Michael Mack,136,360,266,216,392
103,Destiny Sobrino,412,113,480,250,301
104,Morgan Stewart,405,165,273,184,
105,Jillian Bobson,82,341,274,483,135
106,Michael Stewart,126,108,332,61,
107,Jessica Thomas,90,336,468,,
108,Lucas Morgan,447,32,90,361,
109,Brad Wayne,49,16,414,374,132
110,Matt Williams,63,75,466,125,309
111,Poju Jefferson,152,224,116,,
112,Bob Sanchez,122,266,292,41,
113,Jefferson Smith,477,288,114,,
114,Jack Morgan,431,42,142,24,
115,Mikey Jobs,386,154,105,,
116,Lucas Dell,494,345,253,236,
117,Mikey Mack,483,146,,,
118,Destiny Wayne,185,377,,,
119,Jack Gomez,369,304,345,,
120,Morgan Martinez,422,282,231,307,196
121,Illiana Bobson,184,357,80,277,396
122,George Sanchez,20,338,270,,
123,Doug Jobs,389,123,,,
124,Jordan Mungus,136,274,,,
125,Thomas Bravo,217,1,330,417,70
126,Destiny Douglass,436,341,,,
127,Janet Ybarra,435,232,294,279,285
128,Chad Sanchez,478,81,451,7,409
129,Daniel Sanchez,300,483,375,,
130,Paul Diesel,57,321,459,123,254
131,Andrew Matheson,409,376,478,190,
132,Brad Evans,317,198,414,215,8
133,Janet Sobrino,377,406,446,345,
134,Lucas Young,117,443,258,84,319
135,Mikey Westlund,377,469,,,
136,Richard Stewart,448,463,211,323,
137,Jakob Thomas,65,41,460,102,
138,Richard Dean,13,191,337,387,
139,Morgan Wayne,353,175,303,,
140,Brad Jobs,88,365,8,165,
141,Hugh Richison,35,91,,,
142,Alexa Sobrino,70,426,404,1,90
143,Chad Hernandez,24,323,486,359,335
144,Mikey Quintero,423,482,330,90,296
145,Ivan Dean,130,117,253,277,
146,Doug Westlund,369,240,,,
147,Chad Douglass,486,125,,,
148,Jeff Westlund,71,119,483,156,21
149,Illiana Martinez,57,49,,,
150,Paul Quintero,168,349,178,451,438
151,Illiana Young,478,257,161,145,
152,Janet Douglass,61,30,371,425,455
153,Paula Stevenson,228,494,,,
154,Isaak Parker,183,405,275,,
155,Peter Matheson,377,146,493,8,350
156,Doug Padilla,373,215,121,172,
157,Lucas Dean,79,343,169,,
158,Illiana Martinez,304,468,343,298,429
159,Jessica Mungus,326,424,423,457,
160,John Stewart,167,318,435,,
161,Hugh Stevenson,212,53,,,
162,Paul Lee,232,54,28,403,
163,John Young,240,8,199,,
164,Ivan Gomez,310,497,324,320,188
165,Eddie Morgan,189,458,471,157,131
166,Richard Dell,457,122,462,159,447
167,Maria Martinez,453,140,306,389,
168,Doug Smith,48,3,132,,
169,Jessica Matheson,56,481,,,
170,Bob Jefferson,243,174,26,473,460
171,Bob Evans,454,226,283,452,203
172,Jakob Evans,418,122,339,429,357
173,Jakob Johnson,25,88,217,,
174,George Quintero,169,366,,,
175,Jordan Matheson,76,499,61,,
176,Matt Ybarra,487,140,236,241,481
177,Thomas Johnson,57,376,45,262,168
178,Illiana Sinatra,198,223,155,,
179,Daniel Stevenson,439,215,30,450,
180,Alexa Lee,477,212,464,87,248
181,Jefferson Mack,296,285,167,2,423
182,Chad Mack,399,34,,,
183,Illiana Parker,265,345,460,62,188
184,Alexa Rudd,308,444,129,,
185,Mark Parker,257,94,361,465,317
186,Alexa Lee,346,336,275,,
187,Jordan Johnson,296,337,135,429,361
188,Jordan Bravo,156,55,384,34,
189,John Bravo,78,498,,,
190,Alexa Bobson,75,223,,,
191,Janet Douglass,132,462,420,65,375
192,Jessica Stewart,347,341,362,434,
193,Alexa Sobrino,116,236,353,128,94
194,Michael Johnson,104,256,374,295,319
195,John Gonzalez,136,296,350,368,411
196,Jack Smith,270,316,195,435,335
197,Hugh Chase,410,190,420,431,237
198,Johnny Richison,448,358,241,220,
199,Alexa Diesel,237,401,,,
200,John Gomez,207,155,289,453,479
201,Jack Lopez,220,256,38,25,320
202,Illiana Mungus,177,425,334,,
203,Doug Young,115,260,214,156,
204,Nick Quintero,104,451,21,,
205,Jessica Gonzalez,351,325,70,61,176
206,Jeff Thomas,457,129,45,144,
207,Poju Johnson,450,192,253,55,229
208,Daniel Jackson,140,215,75,337,427
209,Peter Sobrino,86,90,26,268,41
210,Thomas Hernandez,266,399,,,
211,Bob Lee,349,354,,,
212,Johnny Dean,120,210,,,
213,Daniel Martinez,418,60,317,,
214,Paul Michaels,170,139,53,,
215,Mark Matheson,467,344,,,
216,Lucas Evans,483,113,76,323,
217,Jillian Mack,170,453,115,222,
218,Mikey Martinez,469,332,77,214,
219,Ivan Richison,384,239,,,
220,Janet Wayne,41,274,190,,
221,Michael Lopez,483,412,,,
222,Jessica Stewart,357,440,409,479,470
223,John Padilla,119,250,,,
224,Richard Richison,104,30,67,159,176
225,Hugh Matheson,82,52,92,,
226,Matt Bobson,461,395,67,428,201
227,Thomas Williams,56,135,35,194,110
228,Destiny Martinez,425,432,263,101,366
229,Bob Smith,477,51,356,,
230,Maria Sanchez,98,7,280,396,
231,Destiny Rudd,139,318,301,306,
232,Thomas Wayne,429,449,,,
233,Dana Morgan,155,397,,,
234,Daniel Evans,401,291,244,275,
235,Doug Quintero,445,105,59,53,217
236,Brad Gonzalez,469,272,321,246,33
237,Jack Diesel,477,138,442,459,
238,Paula Jackson,5,313,39,160,
239,Peter Ybarra,434,89,25,484,185
240,Dana Rudd,296,371,110,12,440
241,Jordan Evans,348,416,476,139,4
242,Jordan Dell,131,462,,,
243,Morgan Ybarra,469,143,65,60,296
244,Richard Mungus,102,347,325,219,470
245,Daniel Sanchez,317,73,328,366,
246,Eddie Mack,117,138,334,,
247,Michael Rudd,262,137,457,433,255
248,Michael Parker,487,375,278,,
249,Destiny Hernandez,257,46,423,,
250,Ivan Wayne,142,168,12,,
251,Jack Quintero,160,373,284,390,364
252,Michael Jefferson,197,420,,,
253,Bruce Douglass,261,52,,,
254,Isaak Matheson,465,300,42,376,
255,Lucas Douglass,274,387,202,99,66
256,Richard Stevenson,337,411,0,,
257,Destiny Parker,376,274,28,,
258,Illiana Hernandez,5,349,64,228,
259,Jordan Michaels,26,188,4,208,
260,Bruce Matheson,461,80,,,
261,Michael Morgan,362,454,,,
262,Nick Hernandez,139,171,41,427,470
263,Dana Padilla,13,458,41,138,283
264,Chad Johnson,61,334,196,410,2
265,Matt Mack,324,120,31,365,
266,Peter Morgan,4,28,,,
267,Doug Evans,276,99,,,
268,Paul Dean,363,276,,,
269,Richard Dell,160,89,,,
270,Mikey Jobs,103,487,46,426,150
271,Destiny Padilla,159,201,,,
272,Daniel Richison,65,321,432,234,
273,Dana Sobrino,489,126,247,174,331
274,Jefferson Sanchez,196,74,,,
275,John Gomez,85,112,,,
276,Chad Wayne,182,259,279,32,430
277,Hugh Gonzalez,184,220,460,,
278,Jessica Douglass,97,335,450,434,
279,Jakob Stewart,46,74,442,,
280,Paula Gomez,319,314,323,355,190
281,George Sanchez,491,65,70,,
282,Paul Young,467,470,179,281,124
283,Lucas Sinatra,40,50,80,295,
284,Morgan Quintero,52,79,,,
285,Poju Wayne,28,411,465,387,
286,Hugh Parker,184,168,326,193,104
287,Andrew Evans,62,183,,,
288,George Hernandez,291,35,83,14,262
289,Hugh Sanchez,36,304,353,3,
290,Richard Ybarra,87,147,22,304,
291,Jillian Smith,42,166,26,62,13
292,Jakob Jefferson,49,194,497,253,
293,Lucas Hernandez,116,480,52,476,
294,Bob Dell,19,351,408,410,126
295,Mark Quintero,277,33,192,423,10
